31.804381,34.655314,אשדוד - א
"אשדוד - א,ב,ד,ה",31.8047,34.6469
אשדוד - אזור תעשייה צפוני ונמל,31.832549376313,34.6794402417561
אשדוד - איזור תעשייה צפוני,31.832549376313,34.6794402417561
אשדוד - ג,31.8021533926547,34.6620138963342
"אשדוד - ג,ו,ז",31.7966,34.6579
אשדוד - ח,31.7875644040759,34.6542456235291
"אשדוד - ח,ט,י,יג,יד,טז",31.7778,34.6462
אשדוד - יא,31.7845740935601,34.6313075231948
אשדוד -יא,31.7845740935601,34.6313075231948
"אשדוד - יא,יב,טו,יז,מרינה,סיטי",31.7845740935601,34.6313075231948
